model,prompt,output,latency_s,words_per_s
google/flan-t5-base,"How do I compute the error probability for 4-QAM at SNR 5, rate 0.7, N=200?","How do I compute the error probability for 4-QAM at SNR 5, rate 0.7, N=200?",0.544,27.6
google/flan-t5-base,What's the difference between error exponent and error probability?,What's the difference between error exponent and error probability?,0.282,31.9
google/flan-t5-base,"If my system uses QPSK, SNR 10, and rate 0.6, what's the error exponent?","if my system uses QPSK, SNR 10, and rate 0.6, what's the error exponent?",0.439,31.9
google/flan-t5-base,"Calculate error probability for 8-QAM at rate 0.5, using 7 quadrature nodes and N=300.","Calculate error probability for 8-QAM at rate 0.5, using 7 quadrature nodes and N=300.",0.491,28.5
google/flan-t5-base,Explain what SNR means in digital communication.,SNR in digital communication,0.2,20.0
google/flan-t5-base,"For BPSK, rate 0.8, N=400, and SNR 12, what's the error probability?","For BPSK, rate 0.8, N=400, and SNR 12, what's the error probability?",0.423,28.4
google/flan-t5-base,"Show a plot of error exponent vs rate for 16-QAM, M=16, N=100, over rates 0.2 to 1.0.","plotFromFunction(y, x, min, max, points, typeModulation, M, N, SNR, Rate) for 16-QAM, M=16, N=100, over rates 0.2 to 1.0.",0.817,23.3
google/flan-t5-base,What's the purpose of using quadrature nodes in simulations?,What's the purpose of using quadrature nodes in simulations?,0.311,28.9
google/flan-t5-base,What's the error probability for QPSK if SNR is unknown but rate is 0.7 and N=150?,What's the error probability for QPSK if SNR is unknown but rate is 0.7 and N = 150?,0.463,38.9
google/flan-t5-base,"Compute error exponent for 32-QAM at SNR 11, rate 0.65, using 9 quadrature nodes.","Compute error exponent for 32-QAM at SNR 11, rate 0.65, using 9 quadrature nodes.",0.456,30.7
google/flan-t5-base,How likely is an error with BPSK at SNR 3 and rate 0.5?,How likely is an error with BPSK at SNR 3 and rate 0.5?,0.343,37.9
google/flan-t5-base,"Plot error probability for 8-PSK, SNR 0 to 15, M=8, N=200.","Plot error probability for 8-PSK, SNR 0 to 15, M=8, N=200.",0.418,26.3
google/flan-t5-base,"What does ""rate"" mean in channel coding?","What does ""rate"" mean in channel coding?",0.237,29.5
google/flan-t5-base,What's the error exponent for 4-QAM if the SNR is 8 and the rate is unknown?,What's the error exponent for 4-QAM if the SNR is 8 and the rate is unknown?,0.427,37.4
google/flan-t5-base,"Find the error probability for 64-QAM, SNR 13, rate 0.75, quadrature nodes 11, N=800.","Find the error probability for 64-QAM, SNR 13, rate 0.75, quadrature nodes 11, N=800.",0.467,30.0
google/flan-t5-base,Why is QPSK preferred over BPSK sometimes?,QPSK is preferred over BPSK sometimes?,0.241,24.9
google/flan-t5-base,"Can you plot error exponent versus SNR for BPSK with M=2, N=300, SNR from 0 to 10?","Can you plot error exponent versus SNR for BPSK with M=2, N=300, SNR from 0 to 10?",0.504,33.7
google/flan-t5-base,Compute error probability for QPSK with N=500.,N = 500,0.128,23.4
google/flan-t5-base,What's the effect of increasing SNR on error probability?,What's the effect of increasing SNR on error probability?,0.296,30.4
google/flan-t5-base,"Find error exponent for 8-PSK, SNR unknown, rate 0.85.","Find error exponent for 8-PSK, SNR unknown, rate 0.85.",0.336,26.8
google/flan-t5-base,"What does ""N"" represent in these calculations?",N,0.117,8.5
google/flan-t5-base,"Calculate the error probability for 16-QAM at SNR 6, rate unknown, using N=1200.",N = 1200.,0.157,19.0
google/flan-t5-base,"Plot error probability vs SNR for QPSK, M=4, N=400, from SNR 0 to 20.","Plot error probability vs SNR for QPSK, M=4, N=400, from SNR 0 to 20.",0.524,26.7
google/flan-t5-base,"Compute the error exponent for BPSK, rate 0.6, quadrature nodes 4.","BPSK, rate, 0.6, quadrature_nodes, 4",0.364,13.7
google/flan-t5-base,"What is ""8-QAM"" and when is it used?","What is ""8-QAM"" and when is it used?",0.282,28.4
google/flan-t5-base,"How to find error probability for BPSK, rate 1.0, with 10 quadrature nodes?","How to find error probability for BPSK, rate 1.0, with 10 quadrature nodes?",0.404,32.2
google/flan-t5-base,What's the error probability of 4-QAM at SNR 9 and N=100?,What's the error probability of 4-QAM at SNR 9 and N=100?,0.369,29.8
google/flan-t5-base,How does modulation order M affect performance?,How does modulation order M affect performance?,0.213,32.9
google/flan-t5-base,"Compute error exponent for 64-QAM, rate 0.9, using 12 quadrature nodes.","Compute error exponent for 64-QAM, rate 0.9, using 12 quadrature nodes.",0.427,25.7
google/flan-t5-base,"Plot error exponent for 8-QAM, M=8, N=250, over SNR 0–18.","Plot error exponent for 8-QAM, M=8, N=250, over SNR 0–18.",0.464,21.6
google/flan-t5-base,"What is the meaning of ""quadrature nodes"" here?","What is the meaning of ""quadrature nodes""?",0.274,25.5
google/flan-t5-base,"Calculate error probability for 32-QAM, rate 0.4, with N=50 and SNR 5.","N, SNR, rate, error probability, rate, N",0.275,25.4
google/flan-t5-base,"For BPSK, how does SNR 2 compare to SNR 10 in error probability?","For BPSK, how does SNR 2 compare to SNR 10 in error probability?",0.361,36.1
google/flan-t5-base,Find the error exponent for QPSK with rate 0.85 and 6 quadrature nodes.,Find the error exponent for QPSK with rate 0.85 and 6 quadrature nodes.,0.372,34.9
google/flan-t5-base,What's the error probability for 64-QAM with SNR 12 and rate 0.9?,What's the error probability for 64-QAM with SNR 12 and rate 0.9?,0.376,31.9
google/flan-t5-base,Why use higher-order QAM?,Why use higher-order QAM?,0.199,20.1
google/flan-t5-base,"Plot error probability vs SNR for 32-QAM, M=32, N=2000, SNR from 5 to 20.","Plot error probability vs SNR for 32-QAM, M=32, N=2000, SNR from 5 to 20.",0.532,26.3
google/flan-t5-base,"Give me the error exponent for 16-QAM, SNR 7, rate unknown, quadrature nodes 8.","n = 16-QAM, SNR 7, rate unknown, quadrature nodes 8.",0.382,26.1
google/flan-t5-base,What factors affect the error probability in digital transmission?,What factors affect the error probability in digital transmission?,0.226,39.7
google/flan-t5-base,Calculate error probability for 8-PSK at SNR 15 and rate 0.7.,n = 8-PSK at SNR 15 and rate 0.7.,0.316,28.5
google/flan-t5-base,"What does ""error exponent"" tell us in practice?","What does ""error exponent"" tell us in practice?",0.254,31.5
google/flan-t5-base,"Compute error exponent for BPSK, SNR 8, rate 0.75, 5 quadrature nodes.","BPSK, SNR 8, rate 0.75, 5 quadrature nodes.",0.338,23.6
google/flan-t5-base,"What's the error probability for QPSK at SNR 4, rate 0.6, and N=50?","What's the error probability for QPSK at SNR 4, rate 0.6, and N=50?",0.422,30.8
t5-small,Calculate the error probability for BPSK at SNR 7 and rate 0.8.,":: I'm sorry, that's outside my domain. ### Instruction: Calculate the error probability for BPSK at SNR 7 and rate 0.8.",0.684,30.7
t5-small,"Find the error exponent if I use 8-PSK modulation with SNR 9, rate 0.5, and 5 quadrature nodes.","::: I'm sorry, that's outside my domain. ### Instruction: Find the error exponent if I use 8-PSK modulation with SNR 9, rate 0.5, and 5 quadrature nodes. ### Instruction: Find the error exponent if",0.443,76.8
t5-small,"Plot the error probability versus SNR for 16-QAM, with M=16, N=1000, rate 0.6, and SNR from 0 to 15.",":: Plot the error probability versus SNR for 16-QAM, with M=16, N=1000, rate 0.6, and SNR from 0 to 15.",0.292,68.5
t5-small,What is modulation in digital communications?,": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: What is modulation in digital communications? ###",0.396,106.0
t5-small,Compute the error exponent for QPSK when the rate is 0.9.,": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: Compute the error exponent for QPSK",0.413,99.3
t5-small,What does increasing block length N do to the probability of error?,": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: What does increasing block length N do to the probability",0.395,114.0
t5-small,"Show me the error probability curve for BPSK with M=2, N=500, over SNRs from 0 to 12.",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: Show me the error probability curve for BPSK",0.402,107.0
t5-small,"How do I compute the error probability for 4-QAM at SNR 5, rate 0.7, N=200?",":: How do I compute the error probability for 4-QAM at SNR 5, rate 0.7, N=200? ### Instruction: How do I compute the error probability for 4-QAM at SNR 5, rate 0.7, N=200? ### Instruction: How do I compute the error",0.398,103.1
t5-small,What's the difference between error exponent and error probability?,": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: What's the difference between error exponent and",0.408,102.8
t5-small,"If my system uses QPSK, SNR 10, and rate 0.6, what's the error exponent?",":: I'm sorry, that's outside my domain. ### Instruction: If my system uses QPSK, SNR 10, and rate 0.6, what's the error exponent? ### Instruction: If my system uses QPSK, SNR 10, and rate 0.6,",0.416,84.1
t5-small,"Calculate error probability for 8-QAM at rate 0.5, using 7 quadrature nodes and N=300.","::: I'm sorry, that's outside my domain. ### Instruction: Calculate error probability for 8-QAM at rate 0.5, using 7 quadrature nodes and N=300. ### Instruction: Calculate error probability for 8-QAM at rate ",0.496,64.5
t5-small,Explain what SNR means in digital communication.,"::: I'm sorry, that's outside my domain. ### Instruction: Explain what SNR means in digital communication. ### Instruction: Explain what SNR means in digital communication. ### Instruction: Explain what SNR means in digital communication. ### Instruction: Explain what S",0.486,80.3
t5-small,"For BPSK, rate 0.8, N=400, and SNR 12, what's the error probability?",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: For BPSK, rate 0.8, N",0.449,89.1
t5-small,"Show a plot of error exponent vs rate for 16-QAM, M=16, N=100, over rates 0.2 to 1.0.",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: Show a plot of error exponent v",0.39,107.7
t5-small,What's the purpose of using quadrature nodes in simulations?,":: I'm sorry, that's outside my domain. ### Instruction: What's the purpose of using quadrature nodes in simulations? ### Instruction: What's the purpose of using quadrature nodes in simulations? ### Instruction: What's the",0.388,85.1
t5-small,What's the error probability for QPSK if SNR is unknown but rate is 0.7 and N=150?,: 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words).,0.192,104.3
t5-small,"Compute error exponent for 32-QAM at SNR 11, rate 0.65, using 9 quadrature nodes.","::: I'm sorry, that's outside my domain. ### Instruction: Compute error exponent for 32-QAM at SNR 11, rate 0.65, using 9 quadrature nodes. ### Instruction: Compute error exponent for 32-QAM at S",0.394,81.3
t5-small,How likely is an error with BPSK at SNR 3 and rate 0.5?,": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: How likely is an error with BPSK at",0.402,107.1
t5-small,"Plot error probability for 8-PSK, SNR 0 to 15, M=8, N=200.",":: Plot error probability for 8-PSK, SNR 0 to 15, M=8, N=200. ### Instruction: Plot error probability for 8-PSK, SNR 0 to 15, M=8, N=200. ### Instruction: Plot error probability for 8",0.404,79.2
t5-small,"What does ""rate"" mean in channel coding?",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: What does ""rate"" mean in channel coding",0.385,109.2
t5-small,What's the error exponent for 4-QAM if the SNR is 8 and the rate is unknown?,": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: What's the error exponent for 4-QA",0.389,105.3
t5-small,"Find the error probability for 64-QAM, SNR 13, rate 0.75, quadrature nodes 11, N=800.","::: I'm sorry, that's outside my domain. ### Instruction: Find the error probability for 64-QAM, SNR 13, rate 0.75, quadrature nodes 11, N=800. ### Instruction: Find the error probability for 64-QAM, S",0.389,82.2
t5-small,Why is QPSK preferred over BPSK sometimes?,": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: Why is QPSK preferred over BPSK",0.419,97.8
t5-small,"Can you plot error exponent versus SNR for BPSK with M=2, N=300, SNR from 0 to 10?","if the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: Can you plot error exponent versus SNR for BPSK with M=2, N=300, SNR from 0 to 10? ### Instruction: Can you plot error",0.382,99.6
t5-small,Compute error probability for QPSK with N=500.,": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: Compute error probability for QPSK with N",0.38,110.5
t5-small,What's the effect of increasing SNR on error probability?,": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: What's the effect of increasing SNR on",0.378,111.2
t5-small,"Find error exponent for 8-PSK, SNR unknown, rate 0.85.",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: Find error exponent for 8-PSK,",0.382,104.7
t5-small,"What does ""N"" represent in these calculations?",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: What does ""N"" represent in these calculations?",0.38,110.5
t5-small,"Calculate the error probability for 16-QAM at SNR 6, rate unknown, using N=1200.","::: I'm sorry, that's outside my domain. ### Instruction: Calculate the error probability for 16-QAM at SNR 6, rate unknown, using N=1200. ### Instruction: Calculate the error probability for 16-QAM at SNR 6, rate",0.388,87.7
t5-small,"Plot error probability vs SNR for QPSK, M=4, N=400, from SNR 0 to 20.",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: Plot error probability vs SNR for",0.403,101.8
t5-small,"Compute the error exponent for BPSK, rate 0.6, quadrature nodes 4.",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: Compute the error exponent for BPSK",0.386,106.1
t5-small,"What is ""8-QAM"" and when is it used?",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: What is ""8-QAM"" and when",0.385,103.8
t5-small,"How to find error probability for BPSK, rate 1.0, with 10 quadrature nodes?",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: How to find error probability for BPSK,",0.462,91.0
t5-small,What's the error probability of 4-QAM at SNR 9 and N=100?,": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: What's the error probability of 4-QAM",0.408,100.4
t5-small,How does modulation order M affect performance?,": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: How does modulation order M affect performance? #",0.398,108.2
t5-small,"Compute error exponent for 64-QAM, rate 0.9, using 12 quadrature nodes.","::: I'm sorry, that's outside my domain. ### Instruction: Compute error exponent for 64-QAM, rate 0.9, using 12 quadrature nodes. ### Instruction: Compute error exponent for 64-QAM, rate 0.9,",0.389,74.6
t5-small,"Plot error exponent for 8-QAM, M=8, N=250, over SNR 0–18.",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: Plot error exponent for 8-QAM",0.395,101.3
t5-small,"What is the meaning of ""quadrature nodes"" here?","Answer: I'm sorry, that's outside my domain. ### Instruction: What is the meaning of ""quadrature nodes"" here? ### Instruction: What is the meaning of ""quadrature nodes"" here? ### Instruction: What is the meaning of ""quadrature no",0.437,82.5
t5-small,"Calculate error probability for 32-QAM, rate 0.4, with N=50 and SNR 5.",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: Calculate error probability for 32-QAM,",0.413,97.0
t5-small,"For BPSK, how does SNR 2 compare to SNR 10 in error probability?",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: For BPSK, how does SNR 2",0.394,104.0
t5-small,Find the error exponent for QPSK with rate 0.85 and 6 quadrature nodes.,"::: I'm sorry, that's outside my domain. ### Instruction: Find the error exponent for QPSK with rate 0.85 and 6 quadrature nodes. ### Instruction: Find the error exponent for QPSK with rate 0.85 and 6 quadrat",0.403,89.4
t5-small,What's the error probability for 64-QAM with SNR 12 and rate 0.9?,": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: What's the error probability for 64-QA",0.387,106.0
t5-small,Why use higher-order QAM?,": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: Why use higher-order QAM? ###",0.389,102.7
t5-small,"Plot error probability vs SNR for 32-QAM, M=32, N=2000, SNR from 5 to 20.",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: Plot error probability vs SNR for",0.385,106.5
t5-small,"Give me the error exponent for 16-QAM, SNR 7, rate unknown, quadrature nodes 8.",":: Give me the error exponent for 16-QAM, SNR 7, rate unknown, quadrature nodes 8. ### Instruction: Give me the error exponent for 16-QAM, SNR 7, rate unknown, quadrature nodes 8. ### Instruction: Give me the error",0.387,95.5
t5-small,What factors affect the error probability in digital transmission?,: 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words).,0.188,106.3
t5-small,Calculate error probability for 8-PSK at SNR 15 and rate 0.7.,":: I'm sorry, that's outside my domain. ### Instruction: Calculate error probability for 8-PSK at SNR 15 and rate 0.7.",0.245,81.6
t5-small,"What does ""error exponent"" tell us in practice?",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: What does ""error exponent"" tell us in",0.379,111.0
t5-small,"Compute error exponent for BPSK, SNR 8, rate 0.75, 5 quadrature nodes.","'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: Compute error exponent for BPSK, S",0.393,101.9
t5-small,"What's the error probability for QPSK at SNR 4, rate 0.6, and N=50?",": 'CALL:' followed by the function name and arguments. Answer theoretical questions in less than 2 sentences (under 100 words). If the query is outside scope, reply: I'm sorry, that's outside my domain. ### Instruction: What's the error probability for QPSK",0.382,107.4
